RAW_NAME,CANONICAL_NAME,MANUFACTURER_ID
ABBOTT .(CRM-SUNNYVALE),ABBOTT .(CRM-SUNNYVALE),542325
"ABBOTT / ST. JUDE MEDICAL, CARDIOLOGY DIVISION, INC.","ABBOTT / ST. JUDE MEDICAL, CARDIOLOGY DIVISION, INC.",139762
ABBOTT / THORATEC CORP.,ABBOTT / THORATEC CORP.,407626
ABBOTT /THORATEC CORP,ABBOTT /THORATEC CORP,26328
ABBOTT AUTOMATION SOLUTIONS GMBH,ABBOTT AUTOMATION SOLUTIONS GMBH,25852
ABBOTT CRM,ABBOTT CRM,629327
ABBOTT DIABETES CARE,ABBOTT DIABETES CARE,252786
ABBOTT DIABETES CARE INC,ABBOTT DIABETES CARE INC,136171
ABBOTT DIABETES CARE INC.,ABBOTT DIABETES CARE INC.,234017
ABBOTT DIABETES CARE INC. / ABBOTT LABS,ABBOTT DIABETES CARE INC. / ABBOTT LABS,423459
ABBOTT DIABETES CARE LIMITED,ABBOTT DIABETES CARE LIMITED,38114
ABBOTT DIABETES CARE LTD,ABBOTT DIABETES CARE LTD,303526
ABBOTT DIABETES CARE LTD.,ABBOTT DIABETES CARE LTD.,263267
"ABBOTT DIABETES CARE, INC.","ABBOTT DIABETES CARE, INC.",542979
ABBOTT DIABETES PRODUCTS / ABBOTT DIABETES CARE INC.,ABBOTT DIABETES PRODUCTS / ABBOTT DIABETES CARE INC.,69335
"ABBOTT DIADNOSTICS SCARBOROUGH, INC.","ABBOTT DIADNOSTICS SCARBOROUGH, INC.",814438
ABBOTT DIAGNOSITCS TECHNOLOGIES AS,ABBOTT DIAGNOSITCS TECHNOLOGIES AS,32167
"ABBOTT DIAGNOSTIC SCARBOROUGH, INC","ABBOTT DIAGNOSTIC SCARBOROUGH, INC",730684
"ABBOTT DIAGNOSTICS / ALERE SAN DIEGO, INC.","ABBOTT DIAGNOSTICS / ALERE SAN DIEGO, INC.",839856
ABBOTT DIAGNOSTICS DIVISION,ABBOTT DIAGNOSTICS DIVISION,612980
ABBOTT DIAGNOSTICS SCABOROUGH,ABBOTT DIAGNOSTICS SCABOROUGH,533316
"ABBOTT DIAGNOSTICS SCARBOROUGH , INC","ABBOTT DIAGNOSTICS SCARBOROUGH , INC",562702
ABBOTT DIAGNOSTICS SCARBOROUGH INC.,ABBOTT DIAGNOSTICS SCARBOROUGH INC.,414622
"ABBOTT DIAGNOSTICS SCARBOROUGH, INC","ABBOTT DIAGNOSTICS SCARBOROUGH, INC",630672
"ABBOTT DIAGNOSTICS SCARBOROUGH, INC.","ABBOTT DIAGNOSTICS SCARBOROUGH, INC.",477106
"ABBOTT DIAGNOSTICS SCARBOROUGH,INC.","ABBOTT DIAGNOSTICS SCARBOROUGH,INC.",100588
ABBOTT DIAGNOSTICS TECHNOLOGIES AS,ABBOTT DIAGNOSTICS TECHNOLOGIES AS,521202
ABBOTT ELECTROPHYSIOLOGY,ABBOTT ELECTROPHYSIOLOGY,181222
ABBOTT GERMANY,ABBOTT GERMANY,739893
ABBOTT GMBH,ABBOTT GMBH,393125
ABBOTT IRELAND,ABBOTT IRELAND,681051
ABBOTT IRELAND DIAGNOSTICS DIVISION,ABBOTT IRELAND DIAGNOSTICS DIVISION,67578
ABBOTT IRELAND DIAGNOSTICS DIVISION LONGFORD,ABBOTT IRELAND DIAGNOSTICS DIVISION LONGFORD,252860
ABBOTT LABORATORIES,ABBOTT LABORATORIES,29604
ABBOTT LABORATORIES (IRVING ATM),ABBOTT LABORATORIES (IRVING ATM),195311
ABBOTT LABORATORIES (IRVING IA/CC),ABBOTT LABORATORIES (IRVING IA/CC),416658
ABBOTT LABORATORIES / ABBOTT DIABETES CARE INC.,ABBOTT LABORATORIES / ABBOTT DIABETES CARE INC.,827368
ABBOTT LABORATORIES / ABBOTT DIABETES CARE LIMITED,ABBOTT LABORATORIES / ABBOTT DIABETES CARE LIMITED,857987
ABBOTT LABORATORIES / ABBOTT VASCULAR,ABBOTT LABORATORIES / ABBOTT VASCULAR,304379
ABBOTT LABORATORIES / THORATEC CORP.,ABBOTT LABORATORIES / THORATEC CORP.,125769
"ABBOTT LABORATORIES, INC.","ABBOTT LABORATORIES, INC.",172080
ABBOTT LABORATORIES/ ABBOTT DIABETES CARE INC.,ABBOTT LABORATORIES/ ABBOTT DIABETES CARE INC.,679944
ABBOTT LABORATORIES/ THORATEC CORP,ABBOTT LABORATORIES/ THORATEC CORP,355350
ABBOTT LABORATORIES/THORATEC CORP.,ABBOTT LABORATORIES/THORATEC CORP.,316872
ABBOTT MANUFACTURING INC,ABBOTT MANUFACTURING INC,98474
ABBOTT MEDICAL,ABBOTT MEDICAL,215293
ABBOTT MEDICAL (SH-PLYMOUTH),ABBOTT MEDICAL (SH-PLYMOUTH),514259
ABBOTT MEDICAL / ST. JUDE,ABBOTT MEDICAL / ST. JUDE,866092
ABBOTT MEDICAL / ST. JUDE MEDICAL,ABBOTT MEDICAL / ST. JUDE MEDICAL,598999
ABBOTT MEDICAL COSTA RICA LTDA.,ABBOTT MEDICAL COSTA RICA LTDA.,201584
"ABBOTT MEDICAL OPTICS, INC.","ABBOTT MEDICAL OPTICS, INC.",420124
ABBOTT MEDICAL.,ABBOTT MEDICAL.,891058
ABBOTT MEDICAL. - CARDIOMEMS,ABBOTT MEDICAL. - CARDIOMEMS,831173
"ABBOTT MOLECULAR, INC.","ABBOTT MOLECULAR, INC.",398385
ABBOTT NUTRITION,ABBOTT NUTRITION,234644
ABBOTT POINT OF CARE,ABBOTT POINT OF CARE,460496
ABBOTT POINT OF CARE INC.,ABBOTT POINT OF CARE INC.,673158
ABBOTT S.R.L.,ABBOTT S.R.L.,451261
ABBOTT SRL,ABBOTT SRL,785777
ABBOTT VASCULAR,ABBOTT VASCULAR,661754
ABBOTT VASCULAR COSTA RICA,ABBOTT VASCULAR COSTA RICA,593316
ABBOTT VASCULAR INC.,ABBOTT VASCULAR INC.,330165
"ABBOTT VASCULAR, INC.","ABBOTT VASCULAR, INC.",760376
ABBOTT(CRM-SUNNYVALE),ABBOTT(CRM-SUNNYVALE),794711
ABBOTT(CRM-SYLMAR),ABBOTT(CRM-SYLMAR),227770
"ABBOTT, CRMD","ABBOTT, CRMD",130747
"ABBOTT, INC.","ABBOTT, INC.",448011
"ABBOTT, INC.(CRM-SUNNYVALE)","ABBOTT, INC.(CRM-SUNNYVALE)",855070
"ABBOTT, INC.(CRM-SYLMAR)","ABBOTT, INC.(CRM-SYLMAR)",585752
ABBOTT.,ABBOTT.,376072
ABBOTT/THORATEC CORP.,ABBOTT/THORATEC CORP.,252907
ABBOTTT,ABBOTTT,546364
ABBVIE - MEDICAL DEVICE CENTER,ABBVIE - MEDICAL DEVICE CENTER,289759
ABBVIE MEDICAL DEVICE CENTER,ABBVIE MEDICAL DEVICE CENTER,636342
ABBVIE MEDICAL DEVICE CENTRE,ABBVIE MEDICAL DEVICE CENTRE,317135
ABIGO MEDICAL AB,ABIGO MEDICAL AB,316932
ABIOMED,ABIOMED,201668
ABIOMED EU,ABIOMED EU,309746
ABIOMED EUROPE,ABIOMED EUROPE,882944
ABIOMED EUROPE GMBH,ABIOMED EUROPE GMBH,303776
"ABIOMED EUROPE, GMBH","ABIOMED EUROPE, GMBH",175644
ABIOMED INC,ABIOMED INC,560549
ABIOMED INC.,ABIOMED INC.,630213
"ABIOMED, INC","ABIOMED, INC",273848
"ABIOMED, INC.","ABIOMED, INC.",125610
ABIOMED. INC.,ABIOMED. INC.,777578
ABISS - ANALYTIC BIOSURGICAL SOLUTIONS,ABISS - ANALYTIC BIOSURGICAL SOLUTIONS,563729
"ABON BIOPHARM (HANGZHOU) CO., LTD","ABON BIOPHARM (HANGZHOU) CO., LTD",821605
"ABYRX, INC","ABYRX, INC",741698
ACCELERATE DIAGNOTICS,ACCELERATE DIAGNOTICS,667520
ACCELERATED CARE PLUS,ACCELERATED CARE PLUS,695290
ACCELERATED CARE PLUS CORP,ACCELERATED CARE PLUS CORP,662352
ACCESS BIO INCORPORATE,ACCESS BIO INCORPORATE,613180
"ACCESS CLOSURE, INC.","ACCESS CLOSURE, INC.",377330
ACCESS DENTAL LAB,ACCESS DENTAL LAB,717317
"ACCESS VASCULAR, INC.","ACCESS VASCULAR, INC.",887442
"ACCESSCLOSURE INC, A CARDINAL HEALTH COMPANY","ACCESSCLOSURE INC, A CARDINAL HEALTH COMPANY",210514
"ACCESSCLOSURE, INC., A CARDINAL HEALTH COMPANY","ACCESSCLOSURE, INC., A CARDINAL HEALTH COMPANY",254789
ACCESS DENTAL LAB,ACCESS DENTAL LAB,543315
"ACCLARENT, INC.","ACCLARENT, INC.",487186
ACCLARO CORPORATION,ACCLARO CORPORATION,62453
ACCRIVA DIAGNOSTICS,ACCRIVA DIAGNOSTICS,164002
"ACCRIVA DIAGNOSTICS HOLDINGS, INC.","ACCRIVA DIAGNOSTICS HOLDINGS, INC.",822177
ACCURAY INCORPORATED,ACCURAY INCORPORATED,610871
"ACCUVEIN, INC.","ACCUVEIN, INC.",660827
ACE GLOVE SDN. BHD.,ACE GLOVE SDN. BHD.,410931
ACE SURGICAL,ACE SURGICAL,380654
ACE SURGICAL SUPPLY,ACE SURGICAL SUPPLY,53479
ACE SURGICAL SUPPLY CO,ACE SURGICAL SUPPLY CO,590706
ACE SURGICAL SUPPLY CO.,ACE SURGICAL SUPPLY CO.,621761
ACE SURGICAL SUPPLY COMPANY,ACE SURGICAL SUPPLY COMPANY,716380
ACE SURIGCAL SUPPLY CO,ACE SURIGCAL SUPPLY CO,632896
ACE SURIGCAL SUPPLY COMPANY,ACE SURIGCAL SUPPLY COMPANY,122410
"ACELL, INC.","ACELL, INC.",581322
"ACERA SURGICAL, INC","ACERA SURGICAL, INC",456582
ACESSA HEALTH INC.,ACESSA HEALTH INC.,440607
ACIST MEDICAL SYSTEMS,ACIST MEDICAL SYSTEMS,142403
"ACIST MEDICAL SYSTEMS, INC.","ACIST MEDICAL SYSTEMS, INC.",333322
ACMI / OLYMPUS MEDICAL SYSTEM CORPORATION,ACMI / OLYMPUS MEDICAL SYSTEM CORPORATION,56274
"ACON BIOTECH (HANGZHOU) CO., LTD","ACON BIOTECH (HANGZHOU) CO., LTD",488185
ACON LABORATORIES,ACON LABORATORIES,875834
ACON LABORATORIES INC.,ACON LABORATORIES INC.,850818
"ACON LABORATORIES, INC.","ACON LABORATORIES, INC.",660955
"ACORN STAIRLIFT, INC.","ACORN STAIRLIFT, INC.",847155
"ACORN STAIRLIFTS, INC","ACORN STAIRLIFTS, INC",488345
"ACORN STAIRLIFTS, INC.","ACORN STAIRLIFTS, INC.",667984
"ACQUIRE MED, LLC","ACQUIRE MED, LLC",560374
"ACRA CUT, INC.","ACRA CUT, INC.",262496
ACUMED LLC,ACUMED LLC,157818
"ACUMED, LLC","ACUMED, LLC",90021
ACUMEDLLC,ACUMEDLLC,182605
"ACUTUS MEDICAL, INC.","ACUTUS MEDICAL, INC.",580488
AD-TECH MEDICAL INSTRUMENT CORP,AD-TECH MEDICAL INSTRUMENT CORP,489215
AD-TECH MEDICAL INSTRUMENT CORP.,AD-TECH MEDICAL INSTRUMENT CORP.,755806
AD-TECH MEDICAL INSTRUMENT CORPORATION,AD-TECH MEDICAL INSTRUMENT CORPORATION,41545
ADAPTEC MEDICAL DEVICES LLC 3014271001,ADAPTEC MEDICAL DEVICES LLC 3014271001,889071
"ADB INTEREST, LLC","ADB INTEREST, LLC",587908
ADDITIVE IMPLANTS,ADDITIVE IMPLANTS,385026
ADIM DENTAL IMPLANTS LTD.,ADIM DENTAL IMPLANTS LTD.,847171
ADIN DENTAL IMPLANT SYSTEMS LTD,ADIN DENTAL IMPLANT SYSTEMS LTD,267979
ADMEDUS REGEN PTY LTD,ADMEDUS REGEN PTY LTD,681424
"ADROIT MEDICAL SYSTEMS, INC.","ADROIT MEDICAL SYSTEMS, INC.",81900
ADS OR AJAX DENTAL/GUANGZHOU AJAX MEDICAL EQUIPMENT CO LTD,ADS OR AJAX DENTAL/GUANGZHOU AJAX MEDICAL EQUIPMENT CO LTD,407091
ADVANCE - ESTHETIC LLC,ADVANCE - ESTHETIC LLC,269083
ADVANCED BIONICS LLC,ADVANCED BIONICS LLC,486680
"ADVANCED BIONICS, LLC","ADVANCED BIONICS, LLC",763993
ADVANCED COOLING THERAPY INC. D/B/A ATTUNE MEDICAL,ADVANCED COOLING THERAPY INC. D/B/A ATTUNE MEDICAL,348072
ADVANCED MEDICAL SOLUTION LTD,ADVANCED MEDICAL SOLUTION LTD,773541
ADVANCED MEDICAL SOLUTIONS LIMITED,ADVANCED MEDICAL SOLUTIONS LIMITED,829504
ADVANCED MEDICAL SOLUTIONS LTD,ADVANCED MEDICAL SOLUTIONS LTD,314584
ADVANCED MEDICAL SOLUTIONS LTD.,ADVANCED MEDICAL SOLUTIONS LTD.,339852
"ADVANCED ORTHOPAEDIC SOLUTIONS, INC.","ADVANCED ORTHOPAEDIC SOLUTIONS, INC.",493273
ADVANCED RESEARCH MEDICAL,ADVANCED RESEARCH MEDICAL,781139
ADVANCED STERILIZATION PRODUCTS,ADVANCED STERILIZATION PRODUCTS,543982
ADVANCED STERILIZATION PRODUCTS SERVICES INC.,ADVANCED STERILIZATION PRODUCTS SERVICES INC.,672303
ADVANCED SURGICAL CONCEPTS (ASC),ADVANCED SURGICAL CONCEPTS (ASC),361196
ADVANCED SURGICAL CONCEPTS LTD,ADVANCED SURGICAL CONCEPTS LTD,806698
ADVANCED SURGICAL CONCEPTS LTD.,ADVANCED SURGICAL CONCEPTS LTD.,639105
"ADVANCED URO-SOLUTIONS, L.L.C.","ADVANCED URO-SOLUTIONS, L.L.C.",697214
ADVANTECH,ADVANTECH,735951
AERIN MEDICAL INC,AERIN MEDICAL INC,254202
AERIN MEDICAL INC.,AERIN MEDICAL INC.,585867
AEROGEN LIMITED,AEROGEN LIMITED,735258
AEROGEN LTD,AEROGEN LTD,216595
AEROGEN LTD.,AEROGEN LTD.,85585
AERSCHER DIAGNOSTICS,AERSCHER DIAGNOSTICS,884991
AESCULAP,AESCULAP,767115
AESCULAP AG,AESCULAP AG,19303
AESCULAP IMPLAINT SYSTEMS,AESCULAP IMPLAINT SYSTEMS,113913
"AESCULAP IMPLANT SYSTEMS, LLC","AESCULAP IMPLANT SYSTEMS, LLC",734582
AESCULAP INC,AESCULAP INC,470863
AESCULAP INC.,AESCULAP INC.,693899
"AESCULAP, INC","AESCULAP, INC",653489
"AESCULAP, INC.","AESCULAP, INC.",608896
AESTHETIC TECHNOLOGY LTD.,AESTHETIC TECHNOLOGY LTD.,820699
AESYNT INCORPORATED,AESYNT INCORPORATED,410043
AEYSNT INCORPORATED,AEYSNT INCORPORATED,565688
AGA MEDICAL CORPORATION,AGA MEDICAL CORPORATION,622097
"AGAMATRIX, INC.","AGAMATRIX, INC.",603179
AGFA N.V.,AGFA N.V.,496042
AGFA-GEVAERT HEALTHCARE GMBH,AGFA-GEVAERT HEALTHCARE GMBH,737066
AGILENT TECHNOLOGIES SINGAPORE (INTL.) PTE LTD.,AGILENT TECHNOLOGIES SINGAPORE (INTL.) PTE LTD.,833361
AGILENT TECHNOLOGIES SINGAPORE INTL. PTE LTD.,AGILENT TECHNOLOGIES SINGAPORE INTL. PTE LTD.,465828
"AGILENT TECHNOLOGIES, INC.","AGILENT TECHNOLOGIES, INC.",858411
AGILITI HEALTH,AGILITI HEALTH,659845
AGILITI HEALTH - ELLIS,AGILITI HEALTH - ELLIS,10710
AI CURE LLC,AI CURE LLC,146799
"AID-PRO HEALTHCARE CO., LTD","AID-PRO HEALTHCARE CO., LTD",831712
AIR LIQUIDE,AIR LIQUIDE,189322
AIRBEX,AIRBEX,661275
AIRCRAFT MEDICAL LIMITED,AIRCRAFT MEDICAL LIMITED,612178
AIRGAS THERAPEUTICS LLC,AIRGAS THERAPEUTICS LLC,407992
AIRGAS USA,AIRGAS USA,412978
"AIRLIFE/ SUNMED GROUP HOLDINGS,LLC DBA AIRLIFE","AIRLIFE/ SUNMED GROUP HOLDINGS,LLC DBA AIRLIFE",81059
"AIRLIFE/SUNMED GROUP HOLDINGS,LLC DBA AIRLIFE","AIRLIFE/SUNMED GROUP HOLDINGS,LLC DBA AIRLIFE",4011
AIRSEP (CAIRE),AIRSEP (CAIRE),724980
AIRSEP CORPORATION,AIRSEP CORPORATION,839002
"AIZU OLYMPUS CO., LTD.","AIZU OLYMPUS CO., LTD.",752734
"AKILIINTERACTIVE LABS, INC.","AKILIINTERACTIVE LABS, INC.",895479
"AKROS MEDICAL, INC","AKROS MEDICAL, INC",202509
"ALARIS MEDICAL SYSTEMS, INC.","ALARIS MEDICAL SYSTEMS, INC.",81068
ALBER GMBH,ALBER GMBH,554728
ALCON,ALCON,273770
ALCON - COUVREUR N.V./ALCON - BELGIUM,ALCON - COUVREUR N.V./ALCON - BELGIUM,20414
ALCON GRIESHABER AG,ALCON GRIESHABER AG,445154
ALCON LABORATORIES INC.,ALCON LABORATORIES INC.,637797
ALCON LABORATORIES IRELAND LTD.,ALCON LABORATORIES IRELAND LTD.,267218
"ALCON LABORATORIES, INC.","ALCON LABORATORIES, INC.",642088
"ALCON LABORATORIES, INC. / ALCON RESEARCH, LLC","ALCON LABORATORIES, INC. / ALCON RESEARCH, LLC",488984
"ALCON LENSX, INC.","ALCON LENSX, INC.",558559
ALCON RESEARCH LLC.,ALCON RESEARCH LLC.,669583
"ALCON RESEARCH, LLC","ALCON RESEARCH, LLC",97910
"ALCON RESEARCH, LLC (FORMERLY KNOWN AS ALCON LABORATORIES)","ALCON RESEARCH, LLC (FORMERLY KNOWN AS ALCON LABORATORIES)",157648
"ALCON RESEARCH, LLC (FORMERLY KNOWN AS ALCON RESEARCH LTD.)","ALCON RESEARCH, LLC (FORMERLY KNOWN AS ALCON RESEARCH LTD.)",796601
"ALCON RESEARCH, LLC - ALCON PRECISION DEVICE","ALCON RESEARCH, LLC - ALCON PRECISION DEVICE",582633
"ALCON RESEARCH, LLC - ASPEX","ALCON RESEARCH, LLC - ASPEX",629956
"ALCON RESEARCH, LLC - HOUSTON","ALCON RESEARCH, LLC - HOUSTON",456713
"ALCON RESEARCH, LLC - HUNTINGTON","ALCON RESEARCH, LLC - HUNTINGTON",896290
"ALCON RESEARCH, LLC - IRVINE TECHNOLOGY CENTER","ALCON RESEARCH, LLC - IRVINE TECHNOLOGY CENTER",704077
"ALCON RESEARCH, LLC.","ALCON RESEARCH, LLC.",466402
ALCRESTA THERAPEUTICS INC.,ALCRESTA THERAPEUTICS INC.,340630
"ALCRESTA THERAPEUTICS, INC.","ALCRESTA THERAPEUTICS, INC.",769250
ALERE SAN DIEGO,ALERE SAN DIEGO,436791
"ALERE SAN DIEGO, INC","ALERE SAN DIEGO, INC",255680
"ALERE SAN DIEGO, INC.","ALERE SAN DIEGO, INC.",356875
ALERE SCARBOROUGH INC.,ALERE SCARBOROUGH INC.,11081
"ALERE SCARBOROUGH, INC.","ALERE SCARBOROUGH, INC.",54196
"ALGORITHM SCIENCES, INC.","ALGORITHM SCIENCES, INC.",251693
ALIGN TECHNOLOGY INC.,ALIGN TECHNOLOGY INC.,886330
"ALIGN TECHNOLOGY, INC","ALIGN TECHNOLOGY, INC",213481
"ALIGN TECHNOLOGY, INC.","ALIGN TECHNOLOGY, INC.",464118
"ALIVECOR, INC.","ALIVECOR, INC.",778105
"ALLARD USA, INC.","ALLARD USA, INC.",298097
ALLEN MEDICAL SYSTEMS,ALLEN MEDICAL SYSTEMS,592369
"ALLEN MEDICAL SYSTEMS, INC.","ALLEN MEDICAL SYSTEMS, INC.",445436
ALLERGAN,ALLERGAN,75258
ALLERGAN  PLEASANTON,ALLERGAN  PLEASANTON,327122
ALLERGAN (AUSTIN),ALLERGAN (AUSTIN),339085
ALLERGAN (COSTA RICA,ALLERGAN (COSTA RICA,555316
ALLERGAN (COSTA RICA),ALLERGAN (COSTA RICA),480500
ALLERGAN (DUBLIN),ALLERGAN (DUBLIN),900939
ALLERGAN (IRVINE),ALLERGAN (IRVINE),663300
ALLERGAN (KELLER),ALLERGAN (KELLER),793000
ALLERGAN (PLEASANTON),ALLERGAN (PLEASANTON),24628
ALLERGAN (PRINGY),ALLERGAN (PRINGY),411329
ALLERGAN / APOLLO ENDOSURGERY COSTA RICA S.R.L.,ALLERGAN / APOLLO ENDOSURGERY COSTA RICA S.R.L.,40699
ALLERGAN / APOLLO ENDOSURGERY INC.,ALLERGAN / APOLLO ENDOSURGERY INC.,270510
ALLERGAN / LIFECELL,ALLERGAN / LIFECELL,410530
ALLERGAN / MCGHAN,ALLERGAN / MCGHAN,757636
ALLERGAN / ZELTIQ AESTHETICS INC.,ALLERGAN / ZELTIQ AESTHETICS INC.,89623
"ALLERGAN / ZELTIQ AESTHETICS, INC.","ALLERGAN / ZELTIQ AESTHETICS, INC.",831632
ALLERGAN INC.,ALLERGAN INC.,283963
ALLERGAN PLC,ALLERGAN PLC,378646
ALLERGAN PLEASANTON,ALLERGAN PLEASANTON,102449
"ALLERGAN USA/APOLLO ENDOSURGERY, INC.","ALLERGAN USA/APOLLO ENDOSURGERY, INC.",818746
"ALLERGAN, INC.","ALLERGAN, INC.",886601
ALLERGSN (COSTA RICA),ALLERGSN (COSTA RICA),797268
ALLESEE ORTHODONTIC APPLIANCES,ALLESEE ORTHODONTIC APPLIANCES,666124
ALLIED HEALTHCARE PRODUCT INC.,ALLIED HEALTHCARE PRODUCT INC.,847992
ALLIED HEALTHCARE PRODUCTS INC,ALLIED HEALTHCARE PRODUCTS INC,540560
ALLIED HELATHCARE PRODUCTS INC,ALLIED HELATHCARE PRODUCTS INC,561736
ALLIED MEDICAL LLC,ALLIED MEDICAL LLC,93943
ALLIED MEDICAL LLC.,ALLIED MEDICAL LLC.,498113
"ALLISON MEDICAL, INC","ALLISON MEDICAL, INC",72057
"ALLISON MEDICAL, INC.","ALLISON MEDICAL, INC.",30171
ALLMED INDUSTRIAL LIMITED,ALLMED INDUSTRIAL LIMITED,284681
ALMA LASERS LTD,ALMA LASERS LTD,333385
"ALMA LASERS, LTD.","ALMA LASERS, LTD.",447627
ALN IMPLANTS CHIRURGICAUX,ALN IMPLANTS CHIRURGICAUX,219694
ALPHA OMEGA ENGINEERING LTD.,ALPHA OMEGA ENGINEERING LTD.,623709
ALPHATEC SPINE INC,ALPHATEC SPINE INC,35627
ALPHATEC SPINE INC.,ALPHATEC SPINE INC.,832098
"ALPHATEC SPINE,","ALPHATEC SPINE,",497932
"ALPHATEC SPINE, INC","ALPHATEC SPINE, INC",43954
"ALPHATEC SPINE, INC.","ALPHATEC SPINE, INC.",90576
ALTATEC,ALTATEC,152610
ALTATEC GMBH,ALTATEC GMBH,775255
ALTETAC GMBH,ALTETAC GMBH,468574
"ALTIMATE MEDICAL, INC.","ALTIMATE MEDICAL, INC.",133507
ALYDIA HEALTH,ALYDIA HEALTH,66793
"ALYDIA HEALTH, INC.","ALYDIA HEALTH, INC.",168220
AMBU A/S,AMBU A/S,565789
AMBU INC.,AMBU INC.,65610
"AMBU, INC.","AMBU, INC.",814681
AMD MEDICOM INC. (AMD RITMED),AMD MEDICOM INC. (AMD RITMED),5068
"AMD-RITMED, INC./AMD MEDICOM INC.","AMD-RITMED, INC./AMD MEDICOM INC.",70087
"AMEDA, INC.","AMEDA, INC.",842777
AMEDA. INC.,AMEDA. INC.,142009
AMEDA.COM,AMEDA.COM,543533
"AMERICAL MEDICAL SYSTEMS, INC.","AMERICAL MEDICAL SYSTEMS, INC.",414457
AMERICAN CONTRACT SYSTEMS,AMERICAN CONTRACT SYSTEMS,158334
"AMERICAN CONTRACT SYSTEMS, INC.","AMERICAN CONTRACT SYSTEMS, INC.",775524
AMERICAN MEDICAL MEDICAL SYSTEMS,AMERICAN MEDICAL MEDICAL SYSTEMS,150762
"AMERICAN MEDICAL SYSTEM, INC","AMERICAN MEDICAL SYSTEM, INC",718619
"AMERICAN MEDICAL SYSTEM, INC.","AMERICAN MEDICAL SYSTEM, INC.",5356
AMERICAN MEDICAL SYSTEMS,AMERICAN MEDICAL SYSTEMS,745823
AMERICAN MEDICAL SYSTEMS INC.,AMERICAN MEDICAL SYSTEMS INC.,634529
AMERICAN MEDICAL SYSTEMS INNOVATION CENTER -SILICON VALLEY,AMERICAN MEDICAL SYSTEMS INNOVATION CENTER -SILICON VALLEY,597333
"AMERICAN MEDICAL SYSTEMS, INC","AMERICAN MEDICAL SYSTEMS, INC",269845
"AMERICAN MEDICAL SYSTEMS, INC.","AMERICAN MEDICAL SYSTEMS, INC.",128833
"AMERICAN MEDICAL SYSTEMS, INC. / BOSTON SCIENTIFIC CORPORATION","AMERICAN MEDICAL SYSTEMS, INC. / BOSTON SCIENTIFIC CORPORATION",544843
AMERICAN NATIONAL MFG INC,AMERICAN NATIONAL MFG INC,194029
AMERICAN ORTHODONTICS,AMERICAN ORTHODONTICS,737650
AMERICAN SURGICAL COMPANY,AMERICAN SURGICAL COMPANY,664642
AMERIWATER,AMERIWATER,625881
AMERIWATER LLC,AMERIWATER LLC,77471
AMGEN INC.,AMGEN INC.,402654
"AMGEN USA, INC.","AMGEN USA, INC.",856441
AMICO MOBILITY SOLUTIONS,AMICO MOBILITY SOLUTIONS,248849
AMNEAL PHARMACEUTICALS,AMNEAL PHARMACEUTICALS,468560
AMO MANUFACTURING NETHERLANDS,AMO MANUFACTURING NETHERLANDS,547759
"AMO MANUFACTURING USA, LLC","AMO MANUFACTURING USA, LLC",500113
AMO PUERTO RICO MFG. INC.,AMO PUERTO RICO MFG. INC.,708177
AMO UPPSALA AB,AMO UPPSALA AB,258505
